layer_name,layer_type,params
input_1,InputLayer,0
zero_padding2d,ZeroPadding2D,0
conv1/conv,Conv2D,9408
conv1/bn,BatchNormalization,256
conv1/relu,Activation,0
zero_padding2d_1,ZeroPadding2D,0
pool1,MaxPooling2D,0
conv2_block1_0_bn,BatchNormalization,256
conv2_block1_0_relu,Activation,0
conv2_block1_1_conv,Conv2D,8192
conv2_block1_1_bn,BatchNormalization,512
conv2_block1_1_relu,Activation,0
conv2_block1_2_conv,Conv2D,36864
conv2_block1_concat,Concatenate,0
conv2_block2_0_bn,BatchNormalization,384
conv2_block2_0_relu,Activation,0
conv2_block2_1_conv,Conv2D,12288
conv2_block2_1_bn,BatchNormalization,512
conv2_block2_1_relu,Activation,0
conv2_block2_2_conv,Conv2D,36864
conv2_block2_concat,Concatenate,0
conv2_block3_0_bn,BatchNormalization,512
conv2_block3_0_relu,Activation,0
conv2_block3_1_conv,Conv2D,16384
conv2_block3_1_bn,BatchNormalization,512
conv2_block3_1_relu,Activation,0
conv2_block3_2_conv,Conv2D,36864
conv2_block3_concat,Concatenate,0
conv2_block4_0_bn,BatchNormalization,640
conv2_block4_0_relu,Activation,0
conv2_block4_1_conv,Conv2D,20480
conv2_block4_1_bn,BatchNormalization,512
conv2_block4_1_relu,Activation,0
conv2_block4_2_conv,Conv2D,36864
conv2_block4_concat,Concatenate,0
conv2_block5_0_bn,BatchNormalization,768
conv2_block5_0_relu,Activation,0
conv2_block5_1_conv,Conv2D,24576
conv2_block5_1_bn,BatchNormalization,512
conv2_block5_1_relu,Activation,0
conv2_block5_2_conv,Conv2D,36864
conv2_block5_concat,Concatenate,0
conv2_block6_0_bn,BatchNormalization,896
conv2_block6_0_relu,Activation,0
conv2_block6_1_conv,Conv2D,28672
conv2_block6_1_bn,BatchNormalization,512
conv2_block6_1_relu,Activation,0
conv2_block6_2_conv,Conv2D,36864
conv2_block6_concat,Concatenate,0
pool2_bn,BatchNormalization,1024
pool2_relu,Activation,0
pool2_conv,Conv2D,32768
pool2_pool,AveragePooling2D,0
conv3_block1_0_bn,BatchNormalization,512
conv3_block1_0_relu,Activation,0
conv3_block1_1_conv,Conv2D,16384
conv3_block1_1_bn,BatchNormalization,512
conv3_block1_1_relu,Activation,0
conv3_block1_2_conv,Conv2D,36864
conv3_block1_concat,Concatenate,0
conv3_block2_0_bn,BatchNormalization,640
conv3_block2_0_relu,Activation,0
conv3_block2_1_conv,Conv2D,20480
conv3_block2_1_bn,BatchNormalization,512
conv3_block2_1_relu,Activation,0
conv3_block2_2_conv,Conv2D,36864
conv3_block2_concat,Concatenate,0
conv3_block3_0_bn,BatchNormalization,768
conv3_block3_0_relu,Activation,0
conv3_block3_1_conv,Conv2D,24576
conv3_block3_1_bn,BatchNormalization,512
conv3_block3_1_relu,Activation,0
conv3_block3_2_conv,Conv2D,36864
conv3_block3_concat,Concatenate,0
conv3_block4_0_bn,BatchNormalization,896
conv3_block4_0_relu,Activation,0
conv3_block4_1_conv,Conv2D,28672
conv3_block4_1_bn,BatchNormalization,512
conv3_block4_1_relu,Activation,0
conv3_block4_2_conv,Conv2D,36864
conv3_block4_concat,Concatenate,0
conv3_block5_0_bn,BatchNormalization,1024
conv3_block5_0_relu,Activation,0
conv3_block5_1_conv,Conv2D,32768
conv3_block5_1_bn,BatchNormalization,512
conv3_block5_1_relu,Activation,0
conv3_block5_2_conv,Conv2D,36864
conv3_block5_concat,Concatenate,0
